dataset                      lumi    xs        lumi*xs         events     weight
DYhigh                       35.867  5765400   206787601.800   145407553  1.42212
DYlow                        35.867  18610000  667484870.000   35291457   18.91349
STschannel                   35.867  11360     407449.120      2989179    .13630
STtWchannel                  35.867  35850     1285831.950     6952779    .18493
STtchannel                   35.867  136020    4878629.340     67240483   .07255
SaTtWchannel                 35.867  35850     1285831.950     6933037    .18546
SaTtchannel                  35.867  80950     2903433.650     38810801   .07480
TTbar_incl                   35.867  831760    29832735.920    154947474  .19253
WJets                        35.867  61526700  2206778148.900  86731469   25.44379
WW                           35.867  118700    4257412.900     7981093    .53343
WZ                           35.867  47100     1689335.700     3995807    .42277
ZZ                           35.867  16500     591805.500      1988085    .29767
gluon_M-1000                 35.867  1000      35867.000       98558      .36391
gluon_M-1250                 35.867  1000      35867.000       99995      .35868
gluon_M-1500                 35.867  1000      35867.000       99993      .35869
gluon_M-2000                 35.867  1000      35867.000       99995      .35868
gluon_M-2500                 35.867  1000      35867.000       99990      .35870
gluon_M-3000                 35.867  1000      35867.000       99740      .35960
gluon_M-3500                 35.867  1000      35867.000       99488      .36051
gluon_M-4000                 35.867  1000      35867.000       99113      .36187
gluon_M-4500                 35.867  1000      35867.000       99580      .36018
gluon_M-5000                 35.867  1000      35867.000       98404      .36448
gluon_M-500                  35.867  1000      35867.000       99997      .35868
gluon_M-750                  35.867  1000      35867.000       100000     .35867
zprime_M-1000_W-10           35.867  1000      35867.000       103781     .34560
zprime_M-1000_W-100          35.867  1000      35867.000       101055     .35492
zprime_M-1000_W-300          35.867  1000      35867.000       79474      .45130
zprime_M-1250_W-125          35.867  1000      35867.000       96841      .37036
zprime_M-1250_W-12p5         35.867  1000      35867.000       102827     .34880
zprime_M-1500_W-15           35.867  1000      35867.000       99684      .35980
zprime_M-1500_W-150          35.867  1000      35867.000       111101     .32283
zprime_M-3000_W-300          35.867  1000      35867.000       189120     .18965
zprime_M-500_W-5             35.867  1000      35867.000       102459     .35006
zprime_M-500_W-50            35.867  1000      35867.000       101188     .35445
zprime_M-750_W-7p5           35.867  1000      35867.000       94011      .38151
zprime_M-750_W-75            35.867  1000      35867.000       100817     .35576
zprime_M-2000_W-20           35.867  1000      35867.000       202525     .17709
zprime_M-2000_W-200          35.867  1000      35867.000       104107     .34452
zprime_M-2000_W-600          35.867  1000      35867.000       113996     .31463
zprime_M-2500_W-25           35.867  1000      35867.000       100268     .35771
zprime_M-2500_W-250          35.867  1000      35867.000       96063      .37336
zprime_M-3000_W-30           35.867  1000      35867.000       91874      .39039
zprime_M-3500_W-35           35.867  1000      35867.000       90960      .39431
zprime_M-3500_W-350          35.867  1000      35867.000       100989     .35515
zprime_M-4000_W-40           35.867  1000      35867.000       107851     .33256
zprime_M-4000_W-400          35.867  1000      35867.000       102388     .35030
zprime_M-4000_W-1200         35.867  1000      35867.000       88030      .40744
zprime_M-4500_W-45           35.867  1000      35867.000       100229     .35785
zprime_M-4500_W-450          35.867  1000      35867.000       84470      .42461
zprime_M-5000_W-50           35.867  1000      35867.000       111944     .32040
zprime_M-5000_W-500          35.867  1000      35867.000       107118     .33483
zprime_M-5000_W-1500         35.867  1000      35867.000       91015      .39407
TTbar0-700_topPtWeightUP     35.867  729955    26181295.985    135982394  .19253
TTbar700-1000_topPtWeightUP  35.867  80466.2   2886081.195     53567728   .05387
TTbar1000-inf_topPtWeightUP  35.867  21338.6   765351.566      28536040   .02682
TTbar0-700                   35.867  734268    26335990.356    135982394  .19367
TTbar700-1000                35.867  77540.2   2781134.353     53567728   .05191
TTbar1000-inf                35.867  19952.2   715625.557      28536040   .02507
TTbar0-700_topPtWeightDN     35.867  738224    26477880.208    135982394  .19471
TTbar700-1000_topPtWeightDN  35.867  74795.9   2682704.545     53567728   .05008
TTbar1000-inf_topPtWeightDN  35.867  18740.1   672151.166      28536040   .02355
TTbar0-700_pdfUP             35.867  733443    26306400.081    135982394  .19345
TTbar700-1000_pdfUP          35.867  77969.8   2796542.816     53567728   .05220
TTbar1000-inf_pdfUP          35.867  20346.8   729778.675      28536040   .02557
TTbar0-700_pdfDN             35.867  734904    26358801.768    135982394  .19383
TTbar700-1000_pdfDN          35.867  77233.4   2770130.357     53567728   .05171
TTbar1000-inf_pdfDN          35.867  19622.3   703793.034      28536040   .02466
TTbar0-700_q2UP              35.867  731539    26238109.313    135982394  .19295
TTbar700-1000_q2UP           35.867  79256.9   2842707.232     53567728   .05306
TTbar1000-inf_q2UP           35.867  20964.3   751926.548      28536040   .02635
TTbar0-700_q2DN              35.867  737582    26454853.594    135982394  .19454
TTbar700-1000_q2DN           35.867  75409.6   2704716.123     53567728   .05049
TTbar1000-inf_q2DN           35.867  18768.5   673169.789      28536040   .02359
