#mass  gkk        zp1          zp10         zp30
500    358.67     5.83131e+01  5.36522e+02  1.32811e+03
750    81.133     1.36051e+01  1.31954e+02  3.61926e+02
1000   26.065     4.50540e+00  4.48526e+01  1.29361e+02
1250   10.296     1.80866e+00  1.83735e+01  5.52047e+01
1500   4.5747     8.13716e-01  8.47610e+00  2.65207e+01
2000   1.23864    2.05510e-01  2.26215e+00  7.74166e+00
2500   0.40768    6.17038e-02  7.34314e-01  2.79430e+00
3000   0.16757    2.05665e-02  2.72788e-01  1.17252e+00
3500   0.070876   7.34662e-03  1.12874e-01  5.53916e-01
4000   0.036491   2.75870e-03  5.15542e-02  2.88839e-01
4500   0.020839   1.09115e-03  2.59114e-02  1.63747e-01
5000   0.0118235  4.58135e-04  1.42839e-02  9.95997e-02
